id;person_id;building_id;scandate;scantime;in_out;created_at;updated_at
1;54;3;2023-03-07;9:39:04;in;2023-03-27 15:12:46;2023-03-27 15:12:46
2;44;2;2023-03-07;10:46:35;in;2023-03-27 15:12:46;2023-03-27 15:12:46
3;44;2;2023-03-07;19:33:45;out;2023-03-27 15:12:46;2023-03-27 15:12:46
4;45;2;2023-03-07;9:46:44;in;2023-03-27 15:12:46;2023-03-27 15:12:46
5;45;2;2023-03-07;16:23:45;out;2023-03-27 15:12:46;2023-03-27 15:12:46
6;10;1;2023-03-07;9:48:13;in;2023-03-27 15:12:46;2023-03-27 15:12:46
7;10;1;2023-03-07;17:58:00;out;2023-03-27 15:12:46;2023-03-27 15:12:46
8;24;5;2023-03-07;10:48:44;in;2023-03-27 15:12:46;2023-03-27 15:12:46
9;65;3;2023-03-07;7:27:33;in;2023-03-27 15:12:46;2023-03-27 15:12:46
10;65;3;2023-03-07;20:14:36;out;2023-03-27 15:12:46;2023-03-27 15:12:46
11;73;2;2023-03-07;9:06:05;in;2023-03-27 15:12:46;2023-03-27 15:12:46
12;73;2;2023-03-07;20:03:44;out;2023-03-27 15:12:46;2023-03-27 15:12:46
13;16;4;2023-03-07;7:31:31;in;2023-03-27 15:12:46;2023-03-27 15:12:46
14;9;2;2023-03-07;8:54:13;in;2023-03-27 15:12:46;2023-03-27 15:12:46
15;9;2;2023-03-07;16:41:07;out;2023-03-27 15:12:46;2023-03-27 15:12:46
16;7;5;2023-03-07;10:35:48;in;2023-03-27 15:12:46;2023-03-27 15:12:46
17;7;5;2023-03-07;19:12:27;out;2023-03-27 15:12:46;2023-03-27 15:12:46
18;74;4;2023-03-07;7:27:32;in;2023-03-27 15:12:46;2023-03-27 15:12:46
19;74;4;2023-03-07;20:07:28;out;2023-03-27 15:12:46;2023-03-27 15:12:46
20;1;3;2023-03-07;9:11:31;in;2023-03-27 15:12:46;2023-03-27 15:12:46
21;30;4;2023-03-07;8:39:46;in;2023-03-27 15:12:46;2023-03-27 15:12:46
22;30;4;2023-03-07;15:24:39;out;2023-03-27 15:12:46;2023-03-27 15:12:46
23;49;2;2023-03-07;9:35:40;in;2023-03-27 15:12:46;2023-03-27 15:12:46
24;49;2;2023-03-07;19:52:29;out;2023-03-27 15:12:46;2023-03-27 15:12:46
25;15;5;2023-03-07;10:59:33;in;2023-03-27 15:12:46;2023-03-27 15:12:46
26;15;5;2023-03-07;20:44:12;out;2023-03-27 15:12:46;2023-03-27 15:12:46
27;69;4;2023-03-07;10:48:11;in;2023-03-27 15:12:46;2023-03-27 15:12:46
28;69;4;2023-03-07;18:11:36;out;2023-03-27 15:12:46;2023-03-27 15:12:46
29;41;4;2023-03-07;9:16:55;in;2023-03-27 15:12:46;2023-03-27 15:12:46
30;41;4;2023-03-07;16:47:04;out;2023-03-27 15:12:46;2023-03-27 15:12:46
31;68;3;2023-03-07;8:44:59;in;2023-03-27 15:12:46;2023-03-27 15:12:46
32;68;3;2023-03-07;20:44:32;out;2023-03-27 15:12:46;2023-03-27 15:12:46
33;22;4;2023-03-07;9:18:55;in;2023-03-27 15:12:46;2023-03-27 15:12:46
34;22;4;2023-03-07;18:26:23;out;2023-03-27 15:12:46;2023-03-27 15:12:46
35;76;5;2023-03-07;7:42:02;in;2023-03-27 15:12:46;2023-03-27 15:12:46
36;58;1;2023-03-07;10:29:35;in;2023-03-27 15:12:46;2023-03-27 15:12:46
37;58;1;2023-03-07;20:42:23;out;2023-03-27 15:12:46;2023-03-27 15:12:46
38;11;2;2023-03-07;9:25:14;in;2023-03-27 15:12:46;2023-03-27 15:12:46
39;20;2;2023-03-07;10:19:54;in;2023-03-27 15:12:46;2023-03-27 15:12:46
40;20;2;2023-03-07;16:54:24;out;2023-03-27 15:12:46;2023-03-27 15:12:46
41;72;4;2023-03-07;8:30:42;in;2023-03-27 15:12:46;2023-03-27 15:12:46
42;72;4;2023-03-07;19:22:02;out;2023-03-27 15:12:46;2023-03-27 15:12:46
43;14;4;2023-03-07;6:20:03;in;2023-03-27 15:12:46;2023-03-27 15:12:46
44;14;4;2023-03-07;17:16:32;out;2023-03-27 15:12:46;2023-03-27 15:12:46
45;75;5;2023-03-07;9:52:16;in;2023-03-27 15:12:46;2023-03-27 15:12:46
46;26;2;2023-03-07;6:05:02;in;2023-03-27 15:12:46;2023-03-27 15:12:46
47;26;2;2023-03-07;20:16:51;out;2023-03-27 15:12:46;2023-03-27 15:12:46
48;80;5;2023-03-07;8:00:54;in;2023-03-27 15:12:46;2023-03-27 15:12:46
49;38;5;2023-03-07;6:23:09;in;2023-03-27 15:12:46;2023-03-27 15:12:46
50;38;5;2023-03-07;19:47:16;out;2023-03-27 15:12:46;2023-03-27 15:12:46
51;28;4;2023-03-07;10:28:45;in;2023-03-27 15:12:46;2023-03-27 15:12:46
52;28;4;2023-03-07;19:41:27;out;2023-03-27 15:12:46;2023-03-27 15:12:46
53;6;3;2023-03-07;6:03:50;in;2023-03-27 15:12:46;2023-03-27 15:12:46
54;6;3;2023-03-07;18:02:19;out;2023-03-27 15:12:46;2023-03-27 15:12:46
55;5;2;2023-03-07;7:17:50;in;2023-03-27 15:12:46;2023-03-27 15:12:46
56;5;2;2023-03-07;16:09:07;out;2023-03-27 15:12:46;2023-03-27 15:12:46
57;12;5;2023-03-07;6:45:10;in;2023-03-27 15:12:46;2023-03-27 15:12:46
58;17;1;2023-03-07;6:49:09;in;2023-03-27 15:12:46;2023-03-27 15:12:46
59;17;1;2023-03-07;19:18:31;out;2023-03-27 15:12:46;2023-03-27 15:12:46
60;31;1;2023-03-07;9:06:56;in;2023-03-27 15:12:46;2023-03-27 15:12:46
61;18;2;2023-03-07;8:36:49;in;2023-03-27 15:12:46;2023-03-27 15:12:46
62;18;2;2023-03-07;18:43:05;out;2023-03-27 15:12:46;2023-03-27 15:12:46
63;62;2;2023-03-07;8:07:15;in;2023-03-27 15:12:46;2023-03-27 15:12:46
64;77;4;2023-03-07;8:05:14;in;2023-03-27 15:12:46;2023-03-27 15:12:46
65;77;4;2023-03-07;17:46:28;out;2023-03-27 15:12:46;2023-03-27 15:12:46
66;53;4;2023-03-07;10:39:57;in;2023-03-27 15:12:46;2023-03-27 15:12:46
67;60;3;2023-03-07;8:25:43;in;2023-03-27 15:12:46;2023-03-27 15:12:46
68;60;3;2023-03-07;20:04:59;out;2023-03-27 15:12:46;2023-03-27 15:12:46
69;34;1;2023-03-07;8:41:50;in;2023-03-27 15:12:46;2023-03-27 15:12:46
70;34;1;2023-03-07;16:56:21;out;2023-03-27 15:12:46;2023-03-27 15:12:46
71;51;5;2023-03-07;7:59:08;in;2023-03-27 15:12:46;2023-03-27 15:12:46
72;51;5;2023-03-07;18:35:22;out;2023-03-27 15:12:46;2023-03-27 15:12:46
